keyword,owner,repo_name,stars,forks_count,issue_count,network_count,subscribers_count,watchers_count,description,topics
C++,Tencent,MMKV,13666,1514,3,1514,254,13666,"An efficient, small mobile key-value storage framework developed by WeChat. Works on Android, iOS, macOS, Windows, and POSIX.","android,ios,kotlin,swift,macos,key-value,wechat,flutter,golang,python,windows"
C++,pqrs-org,Karabiner-Elements,13628,732,379,732,225,13628,Karabiner-Elements is a powerful utility for keyboard customization on macOS Sierra (10.12) or later.,"macos,keyboard"
C++,esp8266,Arduino,13478,11630,297,11630,952,13478,ESP8266 core for Arduino,
C++,qbittorrent,qBittorrent,13415,2390,2475,2390,381,13415,qBittorrent BitTorrent client,"c-plus-plus,bittorrent,torrent,crossplatform,bittorrent-client,torrent-client"
C++,uNetworking,uWebSockets,13303,1436,32,1436,403,13303,"Simple, secure & standards compliant web server for the most demanding of applications","websockets,http,pubsub,router,commercial,cross-platform,proxy-protocol"
C++,dogecoin,dogecoin,13207,2350,168,2350,864,13207,very currency,
C++,microsoft,LightGBM,13134,3429,160,3429,441,13134,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tasks.","gbdt,gbm,machine-learning,data-mining,distributed,lightgbm,gbrt,microsoft,decision-trees,gradient-boosting,python,r,parallel,kaggle"
C++,xbmc,xbmc,13031,5786,867,5786,820,13031,"Kodi is an award-winning free and open source home theater/media center software and entertainment hub for digital media. With its beautiful interface and powerful skinning engine, it's available for Android, BSD, Linux, macOS, iOS and Windows.","kodi,home-theater,media-center,multimedia,c-plus-plus,python,xml,android,linux,ios,macos,windows-desktop,windows-uwp,entertainment-hub,xbmc,media-player,hacktoberfest"
C++,gabime,spdlog,12992,2758,48,2758,432,12992,Fast C++ logging library.,"header-only,cpp11,cpp,logging,spdlog"
C++,google,libphonenumber,12950,1720,106,1720,392,12950,"Google's common Java, C++ and JavaScript library for parsing, formatting, and validating international phone numbers.",
C++,ethereum,solidity,12946,3219,903,3219,577,12946,"Solidity, the Smart Contract Programming Language","cpp,ethereum,smartcontracts,language,solidity,blockchain,hacktoberfest,programming-language"
C++,OpenGenus,cosmos,12893,3404,2447,3404,331,12893,Hacktoberfest 2021 | World's largest Contributor driven code dataset | Algorithms that run our universe | Your personal library of every algorithm and data structure code that you will ever encounter |,"opengenus,algorithm,datastructures,library,offline-app,interview-questions,sorting-algorithms,search-algorithms,hacktoberfest,internship,internships,hacktoberfest2021,hacktoberfest-accepted"
